hand,hand_sum_start,hand_sum,dealer_first,data_split,dealer,result,last_action,reason
0,5,18,10,False,24,W,stand,Dealer bust
0,7,15,6,False,19,L,stand,Dealer closer to 21
0,8,14,3,False,24,W,stand,Dealer bust
0,12,22,7,False,22,L,hit,Player bust
0,19,19,2,True,22,W,stand,Dealer bust
1,13,13,2,True,22,W,stand,Dealer bust
0,11,21,2,False,18,W,double,Player closer to 21
0,21,21,11,False,24,W,stand,Dealer bust
0,11,19,4,False,17,W,double,Player closer to 21
0,16,26,11,False,18,L,hit,Player bust
0,21,21,7,False,18,W,stand,Player closer to 21
0,21,21,6,False,17,W,stand,Player closer to 21
0,15,15,5,False,23,W,stand,Dealer bust
0,20,20,10,False,20,T,stand,Tie
0,11,21,7,False,17,W,double,Player closer to 21
0,21,21,10,False,20,W,stand,Player closer to 21
0,17,17,6,False,25,W,stand,Dealer bust
0,10,20,10,False,26,W,stand,Dealer bust
0,16,17,4,False,17,T,double,Tie
0,21,21,8,False,18,W,stand,Player closer to 21
0,13,13,5,False,23,W,stand,Dealer bust
0,13,15,2,False,22,W,stand,Dealer bust
0,20,20,9,False,19,W,stand,Player closer to 21
0,18,20,9,False,22,W,stand,Dealer bust
0,21,21,10,False,22,W,stand,Dealer bust
0,12,13,2,False,17,L,stand,Dealer closer to 21
0,15,20,11,False,17,W,stand,Player closer to 21
0,20,20,11,False,17,W,stand,Player closer to 21
0,8,19,7,False,25,W,stand,Dealer bust
0,13,20,10,False,18,W,stand,Player closer to 21
0,16,24,11,False,24,L,hit,Player bust
0,11,17,10,False,25,W,double,Dealer bust
0,9,13,2,False,18,L,stand,Dealer closer to 21
0,17,17,9,False,19,L,stand,Dealer closer to 21
0,15,20,7,False,18,W,stand,Player closer to 21
0,17,21,10,False,22,W,stand,Dealer bust
0,17,21,10,False,20,W,stand,Player closer to 21
0,18,18,5,True,24,W,double,Dealer bust
1,20,20,5,True,24,W,stand,Dealer bust
2,13,14,5,True,24,W,double,Dealer bust
0,21,21,10,False,19,W,stand,Player closer to 21
0,16,18,11,False,19,L,stand,Dealer closer to 21
0,20,20,11,False,19,W,stand,Player closer to 21
0,21,21,3,False,19,W,stand,Player closer to 21
0,20,20,8,False,18,W,stand,Player closer to 21
0,10,14,2,False,21,L,double,Dealer closer to 21
0,17,17,11,False,21,L,stand,Dealer closer to 21
0,14,24,8,False,19,L,hit,Player bust
0,20,20,11,False,17,W,stand,Player closer to 21
0,9,20,10,False,20,T,stand,Tie
0,16,17,8,True,18,L,stand,Dealer closer to 21
1,21,21,8,True,18,W,stand,Player closer to 21
0,14,24,10,False,20,L,hit,Player bust
0,11,18,8,False,18,T,double,Tie
0,13,20,11,True,25,W,stand,Dealer bust
1,21,21,11,True,25,W,stand,Dealer bust
2,16,17,11,True,25,W,stand,Dealer bust
3,18,19,11,True,25,W,stand,Dealer bust
0,14,22,10,False,26,L,hit,Player bust
0,15,15,4,False,20,L,stand,Dealer closer to 21
0,21,21,8,False,23,W,stand,Dealer bust
0,17,18,8,False,21,L,stand,Dealer closer to 21
0,16,17,10,False,20,L,stand,Dealer closer to 21
0,21,21,3,False,18,W,stand,Player closer to 21
0,10,14,5,False,23,W,double,Dealer bust
0,13,22,11,False,20,L,hit,Player bust
0,21,21,11,False,21,T,stand,Tie
0,18,20,10,False,17,W,stand,Player closer to 21
0,14,21,11,False,21,T,stand,Tie
0,19,19,10,False,20,L,stand,Dealer closer to 21
0,15,18,10,True,23,W,stand,Dealer bust
1,20,20,10,True,23,W,stand,Dealer bust
0,20,20,10,False,21,L,stand,Dealer closer to 21
0,12,17,8,False,17,T,stand,Tie
0,13,17,8,False,18,L,stand,Dealer closer to 21
0,7,19,5,False,24,W,stand,Dealer bust
0,13,22,11,False,21,L,hit,Player bust
0,21,21,7,False,18,W,stand,Player closer to 21
0,17,17,4,False,19,L,double,Dealer closer to 21
0,11,19,7,False,17,W,double,Player closer to 21
0,16,26,10,False,20,L,hit,Player bust
0,15,18,11,False,17,W,stand,Player closer to 21
0,20,20,11,False,17,W,stand,Player closer to 21
0,17,17,11,False,19,L,stand,Dealer closer to 21
0,20,20,10,False,21,L,stand,Dealer closer to 21
0,14,17,10,False,18,L,stand,Dealer closer to 21
0,20,20,7,False,18,W,stand,Player closer to 21
0,15,18,7,False,17,W,stand,Player closer to 21
0,15,22,8,True,26,L,hit,Player bust
1,21,21,8,True,26,W,stand,Dealer bust
0,13,24,11,False,17,L,hit,Player bust
0,18,18,11,False,22,W,stand,Dealer bust
0,15,15,6,False,24,W,double,Dealer bust
0,18,18,11,False,17,W,stand,Player closer to 21
0,8,18,10,False,21,L,stand,Dealer closer to 21
0,18,18,9,False,20,L,stand,Dealer closer to 21
0,8,17,5,False,26,W,stand,Dealer bust
0,20,20,2,False,21,L,stand,Dealer closer to 21
0,20,20,10,False,17,W,stand,Player closer to 21
0,13,19,8,False,18,W,stand,Player closer to 21
0,12,21,10,False,17,W,stand,Player closer to 21
0,12,22,2,False,23,L,hit,Player bust
0,15,17,11,False,18,L,stand,Dealer closer to 21
0,21,21,2,False,17,W,stand,Player closer to 21
0,12,18,10,False,21,L,stand,Dealer closer to 21
0,17,25,10,False,20,L,hit,Player bust
0,14,14,6,False,18,L,stand,Dealer closer to 21
0,12,22,11,False,21,L,hit,Player bust
0,18,17,9,False,19,L,stand,Dealer closer to 21
0,8,19,11,False,18,W,stand,Player closer to 21
0,18,18,10,False,21,L,stand,Dealer closer to 21
0,21,21,4,True,17,W,stand,Player closer to 21
1,14,17,4,True,17,T,stand,Tie
2,21,21,4,True,17,W,stand,Player closer to 21
3,19,19,4,True,17,W,stand,Player closer to 21
4,16,18,4,True,17,W,double,Player closer to 21
5,21,21,4,True,17,W,stand,Player closer to 21
6,15,13,4,True,17,L,double,Dealer closer to 21
0,18,18,10,False,21,L,stand,Dealer closer to 21
0,15,21,10,True,17,W,stand,Player closer to 21
1,14,18,10,True,17,W,stand,Player closer to 21
0,14,17,11,False,25,W,stand,Dealer bust
0,11,17,10,False,21,L,double,Dealer closer to 21
0,20,20,10,False,21,L,stand,Dealer closer to 21
0,21,21,8,False,19,W,stand,Player closer to 21
0,14,15,3,False,20,L,stand,Dealer closer to 21
0,16,17,8,False,26,W,stand,Dealer bust
0,17,25,10,False,22,L,hit,Player bust
0,12,24,7,False,23,L,hit,Player bust
0,14,21,11,False,17,W,stand,Player closer to 21
0,15,15,2,False,18,L,stand,Dealer closer to 21
0,9,19,10,False,20,L,stand,Dealer closer to 21
0,17,17,8,False,19,L,stand,Dealer closer to 21
0,20,20,8,False,20,T,stand,Tie
0,17,18,4,False,17,W,double,Player closer to 21
0,16,16,2,False,18,L,stand,Dealer closer to 21
0,21,21,3,False,21,T,stand,Tie
0,21,21,11,False,20,W,stand,Player closer to 21
0,16,18,10,False,22,W,stand,Dealer bust
0,13,20,10,False,20,T,stand,Tie
0,18,18,10,False,20,L,stand,Dealer closer to 21
0,15,15,3,False,21,L,stand,Dealer closer to 21
0,16,26,9,False,18,L,hit,Player bust
0,21,21,11,True,18,W,stand,Player closer to 21
1,15,17,11,True,18,L,stand,Dealer closer to 21
0,13,13,5,False,25,W,stand,Dealer bust
0,16,26,10,False,22,L,hit,Player bust
0,20,20,11,False,23,W,stand,Dealer bust
0,9,19,11,False,19,T,stand,Tie
0,20,20,11,False,18,W,stand,Player closer to 21
0,19,19,9,False,19,T,stand,Tie
0,14,14,3,False,18,L,stand,Dealer closer to 21
0,14,20,9,False,17,W,stand,Player closer to 21
0,21,21,11,False,21,T,stand,Tie
0,15,15,4,False,20,L,stand,Dealer closer to 21
0,16,16,4,False,20,L,stand,Dealer closer to 21
0,17,17,4,False,18,L,stand,Dealer closer to 21
0,17,17,11,False,20,L,stand,Dealer closer to 21
0,20,20,10,False,18,W,stand,Player closer to 21
0,20,20,11,False,20,T,stand,Tie
0,16,15,4,False,19,L,double,Dealer closer to 21
0,20,20,10,False,21,L,stand,Dealer closer to 21
0,19,19,8,False,20,L,stand,Dealer closer to 21
0,14,17,10,False,17,T,stand,Tie
0,21,21,11,False,21,T,stand,Tie
0,7,18,7,False,23,W,stand,Dealer bust
0,15,25,10,False,18,L,hit,Player bust
0,16,26,11,False,17,L,hit,Player bust
0,18,18,5,False,21,L,stand,Dealer closer to 21
0,17,18,3,False,17,W,double,Player closer to 21
0,21,21,9,False,19,W,stand,Player closer to 21
0,16,16,2,False,24,W,stand,Dealer bust
0,15,15,4,False,20,L,stand,Dealer closer to 21
0,12,16,2,False,22,W,stand,Dealer bust
0,5,20,11,False,19,W,stand,Player closer to 21
0,20,20,11,False,21,L,stand,Dealer closer to 21
0,10,13,9,False,19,L,double,Dealer closer to 21
0,19,19,10,False,19,T,stand,Tie
0,20,20,11,False,17,W,stand,Player closer to 21
0,12,19,3,False,21,L,stand,Dealer closer to 21
0,20,20,10,False,23,W,stand,Dealer bust
0,18,18,3,False,19,L,stand,Dealer closer to 21
0,17,19,8,False,19,T,stand,Tie
0,13,19,10,False,20,L,stand,Dealer closer to 21
0,20,20,6,False,20,T,stand,Tie
0,13,18,8,False,19,L,stand,Dealer closer to 21
0,20,20,10,False,21,L,stand,Dealer closer to 21
0,15,21,7,False,17,W,stand,Player closer to 21
0,14,17,5,True,22,W,double,Dealer bust
1,13,13,5,True,22,W,stand,Dealer bust
0,13,23,10,False,20,L,hit,Player bust
0,14,24,11,False,17,L,hit,Player bust
0,5,15,6,False,20,L,stand,Dealer closer to 21
0,19,19,4,False,23,W,stand,Dealer bust
0,18,21,3,False,21,T,double,Tie
0,17,17,5,False,25,W,stand,Dealer bust
0,13,23,8,False,25,L,hit,Player bust
0,14,24,11,False,21,L,hit,Player bust
0,21,21,7,False,24,W,stand,Dealer bust
0,7,17,11,False,17,T,stand,Tie
0,13,17,10,True,25,W,stand,Dealer bust
1,13,24,10,True,25,L,hit,Player bust
0,20,20,11,True,21,L,stand,Dealer closer to 21
1,18,26,11,True,21,L,hit,Player bust
0,20,20,3,False,20,T,stand,Tie
0,21,21,9,False,21,T,stand,Tie
0,10,20,11,False,21,L,stand,Dealer closer to 21
0,14,19,11,False,19,T,stand,Tie
0,21,21,11,False,23,W,stand,Dealer bust
0,13,22,10,True,17,L,hit,Player bust
1,21,21,10,True,17,W,stand,Player closer to 21
2,16,18,10,True,17,W,stand,Player closer to 21
3,20,20,10,True,17,W,stand,Player closer to 21
4,16,25,10,True,17,L,hit,Player bust
0,16,26,10,False,19,L,hit,Player bust
0,17,17,11,False,19,L,stand,Dealer closer to 21
0,19,19,11,False,17,W,stand,Player closer to 21
0,21,21,11,False,18,W,stand,Player closer to 21
0,9,20,10,False,19,W,stand,Player closer to 21
0,13,24,10,False,21,L,hit,Player bust
0,13,13,3,False,19,L,stand,Dealer closer to 21
0,15,22,11,False,19,L,hit,Player bust
0,18,21,11,False,20,W,stand,Player closer to 21
0,13,13,3,False,19,L,stand,Dealer closer to 21
0,21,21,10,True,21,T,stand,Tie
1,14,19,10,True,21,L,stand,Dealer closer to 21
0,21,21,10,False,21,T,stand,Tie
0,13,20,8,False,22,W,stand,Dealer bust
0,13,17,10,False,21,L,stand,Dealer closer to 21
0,5,17,11,False,20,L,stand,Dealer closer to 21
0,11,19,10,False,19,T,double,Tie
0,16,25,11,False,21,L,hit,Player bust
0,20,20,11,True,21,L,stand,Dealer closer to 21
1,14,17,11,True,21,L,stand,Dealer closer to 21
2,16,21,11,True,21,T,stand,Tie
3,14,21,11,True,21,T,stand,Tie
0,21,21,3,True,20,W,stand,Player closer to 21
1,19,19,3,True,20,L,stand,Dealer closer to 21
0,14,18,10,True,18,T,stand,Tie
1,21,21,10,True,18,W,stand,Player closer to 21
0,16,24,10,False,20,L,hit,Player bust
0,18,18,10,False,19,L,stand,Dealer closer to 21
0,15,25,11,False,19,L,hit,Player bust
0,21,21,8,True,19,W,stand,Player closer to 21
1,18,18,8,True,19,L,stand,Dealer closer to 21
0,16,17,11,False,17,T,stand,Tie
0,20,20,11,False,26,W,stand,Dealer bust
0,20,20,11,False,19,W,stand,Player closer to 21
0,12,21,10,False,20,W,stand,Player closer to 21
0,13,20,7,True,19,W,stand,Player closer to 21
1,18,18,7,True,19,L,stand,Dealer closer to 21
2,20,20,7,True,19,W,stand,Player closer to 21
3,14,20,7,True,19,W,stand,Player closer to 21
4,19,19,7,True,19,T,stand,Tie
5,21,21,7,True,19,W,stand,Player closer to 21
6,15,19,7,True,19,T,stand,Tie
0,16,16,5,False,17,L,stand,Dealer closer to 21
0,20,20,8,False,18,W,stand,Player closer to 21
0,14,14,5,False,25,W,stand,Dealer bust
0,17,18,11,False,25,W,stand,Dealer bust
0,21,21,10,True,26,W,stand,Dealer bust
1,19,19,10,True,26,W,stand,Dealer bust
2,21,21,10,True,26,W,stand,Dealer bust
3,17,22,10,True,26,L,hit,Player bust
4,16,17,10,True,26,W,stand,Dealer bust
5,19,19,10,True,26,W,stand,Dealer bust
0,20,20,10,False,23,W,stand,Dealer bust
0,12,24,11,False,23,L,hit,Player bust
0,20,20,10,False,21,L,stand,Dealer closer to 21
0,16,18,9,False,19,L,stand,Dealer closer to 21
0,14,20,10,False,20,T,stand,Tie
0,17,24,11,False,20,L,hit,Player bust
0,18,18,10,False,20,L,stand,Dealer closer to 21
0,14,24,10,False,21,L,hit,Player bust
0,13,13,3,False,17,L,stand,Dealer closer to 21
0,14,14,5,False,24,W,double,Dealer bust
0,21,21,8,False,19,W,stand,Player closer to 21
0,14,14,6,False,18,L,double,Dealer closer to 21
0,21,21,5,False,22,W,stand,Dealer bust
0,11,21,10,False,19,W,double,Player closer to 21
0,12,12,5,False,17,L,stand,Dealer closer to 21
0,18,18,10,True,26,W,stand,Dealer bust
1,19,19,10,True,26,W,stand,Dealer bust
0,12,12,4,False,19,L,stand,Dealer closer to 21
0,12,22,9,False,21,L,hit,Player bust
0,21,21,11,False,17,W,stand,Player closer to 21
0,15,25,11,False,17,L,hit,Player bust
0,17,17,5,False,24,W,stand,Dealer bust
0,20,20,10,False,20,T,stand,Tie
0,14,18,10,False,20,L,stand,Dealer closer to 21
0,15,21,6,False,17,W,double,Player closer to 21
0,13,20,3,False,23,W,stand,Dealer bust
0,21,21,11,True,19,W,stand,Player closer to 21
1,14,24,11,True,19,L,hit,Player bust
2,13,24,11,True,19,L,hit,Player bust
3,17,21,11,True,19,W,stand,Player closer to 21
4,21,21,11,True,19,W,stand,Player closer to 21
5,21,21,11,True,19,W,stand,Player closer to 21
6,21,21,11,True,19,W,stand,Player closer to 21
0,13,23,10,True,21,L,hit,Player bust
1,19,19,10,True,21,L,stand,Dealer closer to 21
2,21,21,10,True,21,T,stand,Tie
0,13,19,7,False,22,W,stand,Dealer bust
0,12,18,8,False,19,L,stand,Dealer closer to 21
0,20,20,6,False,17,W,stand,Player closer to 21
0,14,19,9,False,22,W,stand,Dealer bust
0,20,20,3,False,24,W,stand,Dealer bust
0,5,17,11,False,21,L,stand,Dealer closer to 21
0,12,23,10,False,20,L,hit,Player bust
0,11,19,11,False,17,W,double,Player closer to 21
0,21,21,10,False,22,W,stand,Dealer bust
0,13,18,11,False,19,L,stand,Dealer closer to 21
0,20,20,10,False,18,W,stand,Player closer to 21
0,13,23,11,False,19,L,hit,Player bust
0,20,20,3,False,19,W,stand,Player closer to 21
0,21,21,7,False,18,W,stand,Player closer to 21
0,19,19,11,False,20,L,stand,Dealer closer to 21
0,13,13,5,False,19,L,double,Dealer closer to 21
0,13,18,9,False,20,L,stand,Dealer closer to 21
0,18,18,8,False,23,W,stand,Dealer bust
0,16,19,2,False,20,L,stand,Dealer closer to 21
0,20,20,10,False,21,L,stand,Dealer closer to 21
0,7,23,11,False,18,L,hit,Player bust
0,21,21,11,True,17,W,stand,Player closer to 21
1,21,21,11,True,17,W,stand,Player closer to 21
0,20,20,10,False,21,L,stand,Dealer closer to 21
0,21,21,3,False,19,W,stand,Player closer to 21
0,10,12,5,False,26,W,double,Dealer bust
0,14,26,11,False,17,L,hit,Player bust
0,17,17,10,False,20,L,stand,Dealer closer to 21
0,16,17,3,False,20,L,stand,Dealer closer to 21
0,16,21,8,False,17,W,stand,Player closer to 21
0,20,20,11,False,22,W,stand,Dealer bust
0,21,21,3,False,20,W,stand,Player closer to 21
0,10,17,11,False,19,L,stand,Dealer closer to 21
0,15,26,7,False,26,L,hit,Player bust
0,13,13,4,False,23,W,stand,Dealer bust
0,13,18,9,False,20,L,stand,Dealer closer to 21
0,13,17,11,False,21,L,stand,Dealer closer to 21
0,13,20,7,False,24,W,stand,Dealer bust
0,13,20,11,False,20,T,stand,Tie
0,12,17,9,False,21,L,stand,Dealer closer to 21
0,17,17,10,False,24,W,stand,Dealer bust
0,18,18,11,False,17,W,stand,Player closer to 21
0,8,16,5,False,25,W,stand,Dealer bust
0,17,17,10,False,21,L,stand,Dealer closer to 21
0,14,24,10,False,21,L,hit,Player bust
0,17,19,8,False,17,W,stand,Player closer to 21
0,8,19,11,False,18,W,stand,Player closer to 21
0,21,21,9,False,19,W,stand,Player closer to 21
0,19,19,4,False,20,L,stand,Dealer closer to 21
0,18,18,10,False,20,L,stand,Dealer closer to 21
0,19,19,10,False,23,W,stand,Dealer bust
0,21,21,10,False,21,T,stand,Tie
0,6,20,10,False,17,W,stand,Player closer to 21
0,13,20,8,False,18,W,stand,Player closer to 21
0,9,20,10,False,17,W,stand,Player closer to 21
0,17,17,4,False,26,W,stand,Dealer bust
0,13,25,11,False,19,L,hit,Player bust
0,13,22,11,False,17,L,hit,Player bust
0,13,20,10,False,18,W,stand,Player closer to 21
0,17,24,10,True,20,L,hit,Player bust
1,16,18,10,True,20,L,stand,Dealer closer to 21
2,18,26,10,True,20,L,hit,Player bust
3,13,23,10,True,20,L,hit,Player bust
0,13,19,11,False,21,L,stand,Dealer closer to 21
0,20,20,9,False,17,W,stand,Player closer to 21
0,13,23,9,False,18,L,hit,Player bust
0,11,21,7,False,18,W,double,Player closer to 21
0,14,19,10,False,21,L,stand,Dealer closer to 21
0,7,18,7,False,18,T,stand,Tie
0,6,25,10,False,23,L,hit,Player bust
0,15,17,3,False,21,L,stand,Dealer closer to 21
0,11,21,5,False,19,W,double,Player closer to 21
0,13,23,9,False,23,L,hit,Player bust
0,16,17,11,False,21,L,stand,Dealer closer to 21
0,13,20,11,False,22,W,stand,Dealer bust
0,17,17,10,False,19,L,stand,Dealer closer to 21
